product,answer_option,review_score
earphone,"Excellent quality fast cool mode, economy mode.",0.9871244635193132
earphone,Silent Excellent cooling,0.9742489270386266
earphone,"Great AC, must buy Fully satisfied with the AC.",0.9742489270386266
earphone,Super efficient ac with good look,0.9742489270386266
earphone,Everything is good and fine I love it.,0.9721030042918456
earphone,Great productHighly recommend,0.9678111587982832
earphone,Very good performance,0.9549356223175964
earphone,Voice level is more else good,0.9549356223175964
earphone,The media could not be loaded Ultra nice product……👌🏻👌🏻👌🏻,0.9527896995708156
earphone,I received 2021 model instead of 2022. Otherwise LG AC is good...its cooling is awesome.,0.9506437768240344
earphone,Very good quality,0.9506437768240344
earphone,Impressive product... Very satisfied with it.. Thank you Amazon...,0.9484978540772532
earphone,Product is very good and good quality,0.946351931330472
earphone,Very good product,0.9399141630901288
earphone,"Very good product,",0.9399141630901288
earphone,"Nice product, working fine as expected",0.9334763948497854
earphone,Good cooling cooling on 28* also,0.9334763948497854
earphone,Good product and quick installation,0.9313304721030042
earphone,Very good cooling and silent,0.9313304721030042
earphone,Very good product as we think,0.9291845493562232
earphone,Nice product swift installation,0.9291845493562232
earphone,Installation very nice Nice product,0.924892703862661
earphone,The media could not be loaded Installation good and working also good,0.924892703862661
earphone,"Very slient, energy efficient AC. Convertible feature is good",0.9206008583690988
earphone,Best product in the world and this product fill good at home I am very happy buying this product nice,0.9163090128755365
earphone,Nice product. Worth buying,0.9120171673819742
earphone,Special with HC himalaya cooling 👌,0.907725321888412
earphone,Good productAble to maintain temperature accurately,0.9055793991416308
earphone,The media could not be loaded I purchased 1 Month ago Super cooling Nice Product,0.9055793991416308
earphone,"Good cooling,Less power consumption,Less noise level",0.9012875536480688
earphone,Good product. Nice features,0.9012875536480688
earphone,The media could not be loaded Good product,0.8927038626609443
earphone,Lg is superb as always,0.8905579399141631
earphone,Excellent performance. Cools with in seconds Almost silent operation. Higly recommends this product to all.Remote control is also very easy to use,0.8841201716738197
earphone,I love this product,0.8776824034334764
earphone,Perfect A. C.using it on a 3kva inverted full day.,0.8733905579399142
earphone,its very good,0.871244635193133
earphone,The modes on the AC are very good and you can use the high energy efficient mode throughout the night when needed It cools very fast in 38-40 °C temperatures,0.871244635193133
earphone,Really very nice experience with lg ac...Installation is very quick I received product and get call for installation in just couple of hours.Installation guns are very polite.Really very happy with same day installation,0.8669527896995708
earphone,Its one of the LG’s top model and working in very good condition. There are no complaints on this as my relatives also purchased the same model or product,0.8626609442060086
earphone,The media could not be loaded Best product excellent performance noise level is little bit high more functions user friendly sleep mode is goodGood productExcellent,0.8605150214592274
earphone,Lg great service providedThis is nice product,0.8605150214592274
earphone,Fast cooling minimum noise and plenty of functionality,0.8583690987124464
earphone,I am totally satisfied with the C performance.for me installation charges were 1499+324(drain pipe and other accessories) = 1743.Within 2 minutes it cool down the room,0.8433476394849786
earphone,Best AC. Very efficient and no noise,0.8369098712446352
earphone,Started using Good product,0.8369098712446352
earphone,The media could not be loaded Installation charge 1414+250 outdoor stand fitting 😡😡,0.8326180257510729
earphone,C not cooling enough dont buy this product,0.8304721030042919
earphone,All in one of the most amazing products and very useful purchase of my life,0.8304721030042919
earphone,The AC fits your need. Go for it. its the latest and the best available and the quietest too!,0.8304721030042919
earphone,C stop cooling Austin 1 month fan becomes slow top failure model,0.8261802575107297
earphone,Best cooling👍No much soundAutomatically switching to room temperatureThe best 6 in one ac with dual inverted,0.8261802575107297
earphone,Every thing is great 👍👍👍,0.8240343347639485
earphone,Still dnt know about Energy efficiency Noise level is very less and sleep mode also good,0.8197424892703863
earphone,Wonderful gift to my brother who loves more in his room which cools faster... Value for money and wonderful modes that makes all in family to have nice sleep.,0.8197424892703863
earphone,The media could not be loaded Excellent,0.8197424892703863
earphone,"Superb AC with 6 in 1 Features , Instant cooling with Energy efficient , i Request buyers can afford without any hesitation",0.8175965665236051
earphone,The media could not be loaded Awesome product ❤️❤️❤️❤️❤️,0.8154506437768241
earphone,The media could not be loaded Fully satisfied with product,0.8133047210300429
earphone,Good cooling and model,0.8133047210300429
earphone,Fantastic product i liked it very much the product is excellent I liked the product and hence wanted to give it 5 star.,0.8111587982832618
earphone,Good,0.8090128755364807
earphone,Good,0.8090128755364807
earphone,Good,0.8090128755364807
earphone,Good,0.8090128755364807
earphone,Good,0.8090128755364807
