product,answer_option,review_len,Rn,Rp,Rs,Rc,Rd,Rsc
cooker,It feels sturdy and design is clean,7,0.26711331665811044,0.3666666666666667,0.7000000000000001,0.043209876543209874,0.0,0.4019
cooker,"Good, need spares also for this item....",7,0.561654328012927,0.7,0.6000000000000001,0.043209876543209874,0.0,0.4404
cooker,After using it for a month its handle loosens and i have to tight it to use it. Overall average product,21,0.49707500800364346,-0.10952380952380952,0.22857142857142856,0.11728395061728394,0.0,0.0
cooker,"Turner is a great kitchen appliance! its easy to use and cooks food quickly with flavorful results The pressure cooker is made from unable stainless steel and is equipped with a range of safety features like a pressure release valve, to ensure your safety while cooking It has an easy to read pressure gauge and a timer that makes it simple to adjust the cooking time. I highly recommend the burgher Pressure Cooker, its a great addition to any kitchen!",80,0.7686063160548084,0.34,0.5848677248677249,0.36419753086419754,1.0,0.9651
cooker,It is very light weight cookers For Longer cooking time items it is not good.For normal cooking it is good,20,0.5331036874791955,0.4566666666666667,0.7200000000000001,0.09876543209876543,1.0,0.4404
cooker,Although I have many utensils of this company ….n I am very happy with them this pressure cooker was a still a puzzle…sometime it works well sometime it spews water all over…getting around,33,0.5716221217825613,0.75,0.75,0.17901234567901234,0.0,0.5563
cooker,Up to month use there is no issue but you can not clean its cover in dish washed as its cover uses almunium safety plug.,25,1.0234435834746314,-0.18333333333333335,0.7000000000000001,0.1419753086419753,0.0,0.0549
cooker,"Excellent product, cooker is awesome. Must buy and stainless steel is good for health.it doesn burn the food Unable and easy to clean Best Hooker for cooking in litre range. As aluminium & non-stick is not good for health so I needed steel pressure cooker & this cooker is amazing.Value for money product.",53,0.6745148944546897,0.42777777777777787,0.6370370370370372,0.25308641975308643,0.0,0.9509
cooker,This is really nice cooker for small family and amazing quality i recommend to everyone to try this cookers Steel is also good for health.,25,0.5113532539331858,0.4125,0.725,0.13580246913580246,0.0,0.9061
cooker,"Good quality is so good there is no damage, every things was perfect as mention in the description. My mom's love this this",23,0.7579435372539601,0.725,0.7000000000000001,0.12962962962962962,1.0,0.9529
